"id_product";"reference";"name";"description";"price";"link_rewrite";"link_rewrite";"id_image"
"245";"2012/300";"Miroir en bois sculpté";"<p>Miroir en bois sculpté</p>";"181.818182";"miroirs-et-trumeaux";"miroir-en-bois-sculpte";"243"
"246";"2015/261B";"Scène de tauromachie; bronze en patine brune sur socle en marbre; signé Zumel F. Martinez de Luis; école espagnole; 20è siècle";"<p>Scène de tauromachie; bronze en patine brune sur socle en marbre; signé Zumel F. Martinez de Luis; école espagnole; 20è siècle</p>";"661.157025";"sculptures";"zumel-f-martinez-de-luis-xx-eme-scene-de-tauromachie";"244"
"247";"2013/15F";"Petite table en orme cérusé";"<p></p>
<p>L. 75 cm; P. 51 cm; H. 68 cm</p>
<p>XVIII ème</p>";"909.090909";"mobilier";"petite-table-en-orme-ceruse";"245"
"248";"2014/243E";"Deux oiseaux en bronze de Vienne";"<p>Deux oiseaux en bronze de Vienne</p>";"347.107438";"bronzes-de-vienne";"deux-oiseaux-dansant";"246"
"249";"2011/159E";"Musicien et son chien en porcelaine; Capo di Monte; Naples; 19è siècle";"<p>Musicien et son chien en porcelaine; Capo di Monte; Naples; 19è siècle</p>";"82.644628";"porcelaine-et-faience";"musicien-et-son-chien";"247"
"251";"2015/172A";"Coffre en bois peint; Suède 1853";"<p>Coffre en bois peint; Suède 1853</p>";"206.611570";"divers";"coffre-en-bois-peint";"249"
"256";"2012/387A";"Encoignure Louis XVI en marqueterie sommée d'un marbre";"<p>Encoignure Louis XVI en marqueterie sommée d'un marbre</p>";"1322.314050";"mobilier";"encoignure-louis-xvi-en-marqueterie-sommee-d-un-marbre";"659"
"262";"2016/08A";"Lot de six chaises cannées style Louis XVI";"<p>Lot de six chaises cannées style Louis XVI</p>";"289.256198";"chaises";"lot-de-6-chaises-cannees-style-louis-xvi";"259"
"264";"2012/381C";"Lampe Bouillotte en métal argenté";"<p></p>
<p>D. 33 cm; H. 65 cm</p>
<p>XX ème siècle</p>";"702.479339";"luminaires";"lampe-bouillotte-en-metal-argente";"261"
"265";"2013/110B";"Egoïste en Argent";"<p>Poinçon Minerve par Auger</p>
<p>H. 15 cm</p>
<p></p>";"648.760331";"argenterie-et-verrerie";"egoiste-en-argent";"262"
