"id_product";"reference";"name";"description";"link_rewrite";"link_rewrite";"id_image"
"189";"2016/07D";"Petit canapé Louis XVI époque Napoléon III";"<p>Petit canapé Louis XVI époque Napoléon III</p>";"fauteuils";"canape-style-louis-xvi";"187"
"191";"2015/172T";"Paire de bougeoires en bronze, fin 19è siècle";"<p>Paire de bougeoires en bronze, fin 19è siècle</p>";"divers";"paire-de-bougeoirs-en-bronze";"189"
"192";"2013/179A";"Guéridon en marqueterie";"<p></p>
<p>D. 56 cm, H. 70 cm</p>
<p>Italie XIX ème siècle</p>";"mobilier";"gueridon-en-marqueterie";"190"
"193";"2014/164A";"Lévrier en bronze de Vienne, fin 19è siècle";"<p>Lévrier en bronze de Vienne, fin 19è siècle</p>";"bronzes-de-vienne";"levrier";"191"
"198";"2013/95H";"Petite table en marqueterie";"<p></p>
<p>L? 47 cm, P. 36 cm, H. 75 cm</p>
<p>XIX ème siècle</p>";"mobilier";"petit-gueridon-en-marqueterie-avec-eglomise-en-tablette";"196"
"199";"2012/186B";"Etagère en métal avec chapiteau ancien";"<p>Etagère en métal avec chapiteau ancien</p>";"mobilier";"etagere-en-metal-avec-chapiteau-ancien";"197"
"200";"2010/287G";"Chaise de bureau en acajou";"<p>Chaise de bureau en acajou</p>";"chaises";"chaise-de-bureau-en-acajou";"198"
"204";"2014/157D";"Assiette en Vieux Bruxelles";"<p></p>
<p>D. 25,5 cm</p>
<p>Début XX ème</p>";"porcelaine-et-faience";"assiette-en-vieux-bruxelles";"202"
"205";"2013/240";"Ecole Russe Boris Orlow";"<p></p>
<p>L. 31 cm, H. 41 cm</p>
<p>XXème siècle</p>";"tableaux";"ecole-russe-boris-orlow";"203"
"208";"2014/24";"Lot d'assiettes en Porcelaine de Tournai";"<p></p><p>D. 25 cm </p><p>XVIII ème siècle </p>";"porcelaine-et-faience";"lot-d-assiettes-en-porcelaine-de-tournai";"206"
"211";"2010/292";"6 Chaises Déco  Style Industriel Vintage";"<p></p>
<p>L. 40 cm, P. 40 cm, H. 95 cm</p>
<p>XX ème siècle</p>";"chaises";"6-chaises-deco-style-industriel";"209"
"212";"2012/90C";"Paire de consoles Epoque Directoire";"<p></p>
<p>L. 90 cm, P. 35 cm, H. 76 cm</p>
<p>XIX ème siècle</p>";"mobilier";"paire-de-consoles-epoque-directoire";"210"
"213";"2015/172M";"Vase Médicis en fonte";"<p></p>
<p>D. 30 cm, H. 22 cm</p>
<p>XIX ème siècle</p>";"divers";"vase-medicis-en-fonte";"211"
"216";"2014/22C";"Miroir en érable et poirier noirci";"<p></p>
<p>H. 60 cm, L. 50 cm</p>
<p>Directoire</p>";"miroirs-et-trumeaux";"miroir-en-erable-et-poirier-noirci";"214"
"219";"2015/107A";"Buffet polychrome";"<p>Buffet polychrome</p>";"mobilier";"buffet-polychrome";"217"
"222";"2004/153";"Groupe en porcelaine de Lowestoft (Suffolk)";"<p>Groupe en porcelaine de Lowestoft (Suffolk)</p>";"porcelaine-et-faience";"groupe-en-porcelaine-de-lowestoft-suffolk";"220"
"229";"2013/242BIS4";"Salière en argent";"<p></p>
<p>H. 8 cm</p>
<p>XIX ème siècle</p>";"argenterie-et-verrerie";"saliere-en-argent";"227"
"235";"2010/03D";"Œufs sculptés en bois corozo (fruit d'un palmier d'Amérique du Sud, appelé aussi ""ivoire végétal"")";"<p>Œufs sculptés en bois corozo (fruit d'un palmier d'Amérique du Sud, appelé aussi ""ivoire végétal"") </p>";"divers";"tabouret-polychrome-style-regence";"233"
"238";"2013/112";"Jardinière en noyer style Queen Ann";"<p></p>
<p>L: 120 cm, H: 87 cm, P: 39 cm</p>
<p>Epoque édouardienne</p>";"mobilier";"jardiniere-en-noyer-style-queen-ann";"236"
"239";"2009/303G";"Chocolatière en métal argenté avec prise en bois noirci, Suède, circa 1800";"<p>Chocolatière en métal argenté avec prise en bois noirci, Suède, circa 1800</p>";"argenterie-et-verrerie";"chocolatiere-en-metal-argente-avec-prise-en-bois-noirci";"237"
"243";"2016/101G";"Huilier en Métal argenté et cristal";"<p></p>
<p>H. 28 cm, L. 24 cm</p>
<p>France XIX ème siècle</p>";"argenterie-et-verrerie";"huilier-en-metal-argente-et-cristal";"241"
"245";"2012/300";"Miroir en bois sculpté";"<p>Miroir en bois sculpté</p>";"miroirs-et-trumeaux";"miroir-en-bois-sculpte";"243"
"246";"2015/261B";"Scène de tauromachie, bronze en patine brune sur socle en marbre, signé Zumel F. Martinez de Luis, école espagnole, 20è siècle";"<p>Scène de tauromachie, bronze en patine brune sur socle en marbre, signé Zumel F. Martinez de Luis, école espagnole, 20è siècle</p>";"sculptures";"zumel-f-martinez-de-luis-xx-eme-scene-de-tauromachie";"244"
"247";"2013/15F";"Petite table en orme cérusé";"<p></p>
<p>L. 75 cm, P. 51 cm, H. 68 cm</p>
<p>XVIII ème</p>";"mobilier";"petite-table-en-orme-ceruse";"245"
"248";"2014/243E";"Deux oiseaux en bronze de Vienne";"<p>Deux oiseaux en bronze de Vienne</p>";"bronzes-de-vienne";"deux-oiseaux-dansant";"246"
"249";"2011/159E";"Musicien et son chien en porcelaine, Capo di Monte, Naples, 19è siècle";"<p>Musicien et son chien en porcelaine, Capo di Monte, Naples, 19è siècle</p>";"porcelaine-et-faience";"musicien-et-son-chien";"247"
"251";"2015/172A";"Coffre en bois peint, Suède 1853";"<p>Coffre en bois peint, Suède 1853</p>";"divers";"coffre-en-bois-peint";"249"
"256";"2012/387A";"Encoignure Louis XVI en marqueterie sommée d'un marbre";"<p>Encoignure Louis XVI en marqueterie sommée d'un marbre</p>";"mobilier";"encoignure-louis-xvi-en-marqueterie-sommee-d-un-marbre";"659"
"262";"2016/08A";"Lot de six chaises cannées style Louis XVI";"<p>Lot de six chaises cannées style Louis XVI</p>";"chaises";"lot-de-6-chaises-cannees-style-louis-xvi";"259"
"264";"2012/381C";"Lampe Bouillotte en métal argenté";"<p></p>
<p>D. 33 cm, H. 65 cm</p>
<p>XX ème siècle</p>";"luminaires";"lampe-bouillotte-en-metal-argente";"261"
"265";"2013/110B";"Egoïste en Argent";"<p>Poinçon Minerve par Auger</p>
<p>H. 15 cm</p>
<p></p>";"argenterie-et-verrerie";"egoiste-en-argent";"262"
"266";"2016/81A";"Encrier Napoléon III en marbre et bronze doré, 19è siècle";"<p>Encrier Napoléon III en marbre et bronze doré, 19è siècle</p>";"divers";"encrier-napoleon-iii-en-marbre-et-bronze-dore";"263"
